Family,Genus,Species (I.e. Genus + specific epithet),Pollination Mode,Resource,Notes
,Thuja,,wind,Polleninfo.org
,Thunbergia,,animal,PPE
,Trianaea,,animal,PPE
,Trichoceros,,animal,PPE
,Trifolium,,animal,PPE
,Triglochin,,wind,PPE
,Trigonidium,,animal,PPE,
,Trollius,,animal,PPE,
,Tropaeolum,,animal,PPE,
,Tulipa,,animal,PPE,
,Urtica,,wind,PPE,
,Veronica,,animal,PPE,
,Viburnum,,animal,PPE,
,Victoria,,animal,PPE,insect
,Viola,,animal,PPE,
,Vitis,,animal,PPE,
,Yucca,,animal,PPE,
,Zanthedeschia,,animal,PPE,
,Zostera,,animal,PPE,
,,Acer campestre,insect,ecoflora,
,,Acer platanoides,insect,ecoflora,
,,Acer pseudoplatanus,insect,ecoflora,
,,Aceras anthropophorum,insect,ecoflora
,,Achillea millefolium,animal,PPE
,,Achillea ptarmica,insect,ecoflora
,,Aconitum napellus,insect,ecoflora
,,Aconitum septentrionale,animal,PPE
,,Acorus calamus,none,ecoflora
,,Actaea spicata,insect,ecoflora
,,Adonis annua,insect,ecoflora
,,Adoxa moschatellina,insect,ecoflora
,,Aegopodium podagraria,insect,ecoflora
,,Aesculus carnea,wind,Polleninfo.org
,,Aesculus hippocastanum,animal,PPE
,,Aethusa cynapium,insect,ecoflora
,,Agapanthus praecox,insect,ecoflora
,,Agrimonia eupatoria,insect,ecoflora
,,Agrimonia procera,insect,ecoflora
,,Agrostemma githago,insect,ecoflora
,,Agrostis canina,wind,ecoflora
,,Agrostis capillaris,wind,ecoflora
,,Agrostis castellana,wind,ecoflora
,,Agrostis curtisii,wind,ecoflora
,,Agrostis gigantea,wind,ecoflora
,,Agrostis stolonifera,wind,ecoflora
,,Agrostis vinealis,wind,ecoflora
,,Ailanthus glandulosa,wind,Polleninfo.org
,,Aira caryophyllea,self,ecoflora
,,Aira praecox,wind,ecoflora
,,Ajuga chamaepitys,insect,ecoflora
,,Ajuga pyramidalis,insect,ecoflora
,,Ajuga reptans,insect,ecoflora
,,Alchemilla acutiloba,none,ecoflora
,,Alchemilla alpina,none,ecoflora
,,Alchemilla filicaulis,none,ecoflora
,,Alchemilla glabra,none,ecoflora
,,Alchemilla glaucescens,none,ecoflora
,,Alchemilla glomerulans,none,ecoflora
,,Alchemilla minima,none,ecoflora
,,Alchemilla monticola,none,ecoflora
,,Alchemilla subcrenata,none,ecoflora
,,Alchemilla wichurae,none,ecoflora
,,Alchemilla xanthochlora,none,ecoflora
,,Alisma gramineum,insect,ecoflora
,,Alisma lanceolatum,insect,ecoflora
,,Alisma plantago-aquatica,insect,ecoflora
,,Alisma plantago-aquatica,insect,ecoflora
,,Alisma plantago-aquatica,wind,ecoflora
,,Alisma plantago-aquatica,wind,ecoflora
,,Alliaria petiolata,insect,ecoflora
,,Allium carinatum,insect,ecoflora,
,,Allium oleraceum,insect,ecoflora,
,,Allium schoenoprasum,insect,ecoflora,
,,Allium scorodoprasum,insect,ecoflora,
,,Allium sphaerocephalon,insect,ecoflora,
,,Allium triquetrum,insect,ecoflora,
,,Allium ursinum,insect,ecoflora,
,,Allium vineale,insect,ecoflora,
,,Alnus glutinosa,wind,Polleninfo.org,
,,Alnus incana,wind,Polleninfo.org,
,,Alnus viridis,wind,Polleninfo.org,
,,Alocasia pubera,animal,PPE,insect
,,Alopecurus aequalis,wind,ecoflora,
,,Alopecurus borealis,wind,ecoflora,
,,Alopecurus bulbosus,wind,ecoflora,
,,Alopecurus geniculatus,wind,ecoflora,
,,Alopecurus myosuroides,wind,ecoflora
,,Alopecurus pratensis,wind,ecoflora
,,Althaea officinalis,insect,ecoflora
,,Alyssum alyssoides,insect,ecoflora
,,Amelanchier lamarckii,insect,ecoflora
,,Ammophila arenaria,self,ecoflora
,,Ammophila arenaria,wind,ecoflora
,,Amorphophallus titanum,animal,PPE
,,Amorphophallus variabilis,animal,PPE
,,Amsinckia lycopsoides,insect,ecoflora
,,Anacamptis pyramidalis,animal,PPE
,,Anagallis arvensis,self,ecoflora
,,Anagallis minima,self,ecoflora
,,Anchusa arvensis,insect,ecoflora
,,Andromeda polifolia,insect,ecoflora
,,Anemone nemorosa,insect,ecoflora
,,Angelica archangelica,insect,ecoflora
,,Angelica sylvestris,insect,ecoflora
,,Angraecum sesquipedale,animal,PPE
,,Anisantha diandra,wind,ecoflora
,,Anisantha sterilis,wind,ecoflora
,,Antennaria dioica,insect,ecoflora
,,Anthemis arvensis,insect,ecoflora
,,Anthemis cotula,insect,ecoflora
,,Anthoxanthum odoratum,wind,ecoflora
,,Anthriscus caucalis,self,ecoflora
,,Anthriscus sylvestris,insect,ecoflora
,,Anthyllis vulneraria,insect,ecoflora
,,Antirrhinum majus,insect,ecoflora
,,Apera interrupta,wind,ecoflora
,,Apera spica-venti,wind,ecoflora
,,Aphanes arvensis,none,ecoflora
,,Apium graveolens,insect,ecoflora
,,Apium inundatum,insect,ecoflora
,,Apium nodiflorum,insect,ecoflora
,,Apium repens,insect,ecoflora
,,Aquilegia vulgaris,insect,ecoflora
,,Arabidopsis thaliana,insect,ecoflora
,,Arabis alpina,insect,ecoflora
,,Arabis caucasica,insect,ecoflora
,,Arabis glabra,self,ecoflora
,,Arabis hirsuta,insect,ecoflora
,,Arabis petraea,self,ecoflora
,,Arabis scabra,insect,ecoflora
,,Arachnis flosaeris,animal,PPE
,,Arbutus unedo,insect,ecoflora
,,Arctium lappa,insect,ecoflora
,,Arctium minus,insect,ecoflora
,,Arctostaphylos alpinus,self,ecoflora
,,Arctostaphylos uva-ursi,insect,ecoflora
,,Aremonia agrimonioides,insect,ecoflora
,,Arenaria serpyllifolia,insect,ecoflora
,,Arisaema laminatum,animal,PPE
,,Arisarum vulgare,animal,PPE
,,Aristolochia clematitis,insect,ecoflora
,,Aristolochia grandiflora,animal,PPE
,,Aristolochia tricaudata,animal,PPE
,,Armeria maritima,insect,ecoflora
,,Armoracia rusticana,insect,ecoflora
,,Arnoseris minima,insect,ecoflora
,,Arrhenatherum elatius,wind,ecoflora
,,Artemisia absinthium,wind,ecoflora
,,Artemisia campestris,wind,ecoflora
,,Artemisia norvegica,wind,ecoflora
,,Artemisia vulgaris,wind,ecoflora,
,,Arum conophalloides,animal,PPE,insect
,,Arum italicum,insect,ecoflora,
,,Arum maculatum,animal,PPE,
,,Arum nigrum,animal,PPE,
,,Asparagus officinalis,insect,ecoflora,
,,Asperula cynanchica,insect,ecoflora,
,,Asperula cynanchica,insect,ecoflora,
,,Aster linosyris,insect,ecoflora,
,,Aster novae-angliae,insect,ecoflora,
