"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","lomatslope","lomatslopelog","lomatslopelogse","lomatslopelogconfint11","lomatslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp","lomatslopelog_exp"
16,"1950-1960",4.50454907964335,3.52469179389567,0.315091335326606,1.87741625482887,109.9,128.1,0.0108713439270494,11.3181270535367,1938,42.7466600328406,-5.43911048599564,0.919217080766482,-7.09125203493592,-3.78696893705535,-0.147856463332689,0.039750259689823,-0.219301018692738,-0.0764119079726412,-3.17386517808715,-0.166412378757348,0.364062367626354,-0.820754619068559,0.487929861553863,5.50133858671292,0.329119970545601,0.573689785986818,0.862554914314731,0.846697002328778
16,"2000-2010",5.97734412869103,0.992777945705659,0.0245369907887224,0.996382429444468,104.8,28.1777777777778,0.00255621839873487,5.30827446330517,2094,47.0343763379309,-3.92632324564557,1.2731233924584,-6.21455319439113,-1.63809329690001,-0.24253489186863,0.0752952355460755,-0.377865696404146,-0.107204087333113,1.26672899744652,0.0667759373130755,0.0970882490897983,-0.107724225479122,0.241276100105273,5.93125793194218,1.21761973860781,1.10345808194413,0.784636369671959,1.06905591579614
17,"1950-1960",6.41433592220219,3.30529540667756,0.115382892611487,1.8180471409393,109.9,70.3222222222222,0.00576636219783764,8.38583461691335,2355.6,71.020096024327,-4.14018550243737,0.718895679801999,-5.43228227348974,-2.848088731385,-0.192359173682857,0.0402706989058833,-0.264739132954062,-0.119979214411652,-5.9798052413106,-0.414302131945125,0.197022344440674,-0.768417398220028,-0.060186865670222,7.28556435328398,0.681425841025923,0.825485215510201,0.825010493212525,0.660801271929049
17,"2000-2010",7.42666376842736,0.969812018890341,0.0174462058710557,0.984790342606151,105.3,60.4555555555556,0.00546610048242219,7.77531707106248,2253.6,82.4114081148563,-3.74292665499683,2.45784193282554,-8.16049336792473,0.674640057931083,-0.27285253384764,0.172794385886197,-0.583422028605245,0.0377169609099655,2.58328560648626,0.165287390935834,0.143540216942149,-0.0927025456265746,0.423277327498242,7.62162886190138,1.59968751346931,1.26478753688883,0.761205031329785,1.17973211431329
18,"1950-1960",5.19452447405726,3.54478018254348,0.225664835336556,1.88275866285179,114.3,114.233333333333,0.00862331265940454,10.687999500998,1885.2,68.9658855612445,-4.42081194444101,1.2590775082883,-6.68379672606056,-2.15782716282144,-0.143768285550468,0.0468289462627203,-0.227935616023939,-0.0596009550769961,-1.96278242694105,-0.132093606035674,0.261652458684795,-0.602370875051468,0.338183662980121,6.86699984651059,0.81107153386599,0.900595099845647,0.866088410009342,0.876258968112095
18,"2000-2010",6.20151625482793,1.45901341569612,0.037527927304991,1.20789627687816,106.6,41.1555555555556,0.00363139085142718,6.41525958598368,2007.6,58.7587035708782,-2.81858246854823,1.59151620957241,-5.67907115034472,0.0419062132482511,-0.166162615962372,0.0929751383374666,-0.333270138526807,0.000944906602063561,1.85417278102724,0.104288824554469,0.105342730329754,-0.0850474109204802,0.293625060029418,6.43809663029087,1.39063257050818,1.17925085139175,0.846908502149871,1.10992098105829
19,"1950-1960",5.56853266241884,3.51027393076403,0.14662153913036,1.87357250480573,113,108,0.00849401784856601,10.3923048454133,2418,65.3355061561717,-4.87003429989601,0.938722240124624,-6.55723316540337,-3.18283543438866,-0.204821124820543,0.0446932457479672,-0.285149884807949,-0.124492364833136,-4.29374262171013,-0.267896960986969,0.218381417990412,-0.660401649735362,0.124607727761424,6.76037081663587,0.853225427518621,0.923702023121429,0.814793049629971,0.764986600506356
19,"2000-2010",6.71372935813317,1.55211674845068,0.0365357952173223,1.2458397763961,108.5,52.7222222222222,0.0043750921550308,7.26100697026399,2356.8,68.8387907346122,-4.08438918194061,1.46993680974145,-6.7263588847507,-1.44241947913051,-0.244925229868075,0.0864289696768847,-0.400267090700572,-0.0895833690355779,2.58695736225194,0.157296168265245,0.0986462175490064,-0.0200041866439763,0.334596523174467,7.08862887381486,1.84222655222808,1.35728646653095,0.782763063351389,1.17034218079075
20,"1950-1960",4.12381138323547,3.50394324903204,0.345499008903453,1.87188227435169,110.9,186.322222222222,0.0161599399786426,13.649989824986,1953.6,44.0087255417411,-4.64975607849789,1.98603813575303,-8.21933304841394,-1.08017910858184,-0.132943529247896,0.0603104173559182,-0.2413415871523,-0.0245454713434928,3.62314415532989,0.167398615956588,0.119164078042082,-0.0467792192837269,0.381576451196903,5.66064503476504,2.84546113999649,1.68684947164722,0.875514531676895,1.18222542531499
20,"2000-2010",5.33940971672046,1.31559783124164,0.0440106677430385,1.14699513130686,109.9,55.6555555555556,0.00469803188931687,7.4602651129538,2059.2,51.9181340332482,-4.81019367643499,1.54783803162431,-7.59217801569915,-2.02820933717082,-0.244766924369367,0.0765152958190729,-0.382290586621963,-0.107243262116771,2.2047117640773,0.143734235312952,0.171376284712462,-0.164286455773843,0.451754926399747,6.15887083008044,0.729197458441759,0.853930593456962,0.782886988857288,1.15457722189286
