"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2544,123.21707692934,137.904238438237,8.5085481969159,13,1986,49.7167,10.2167,"49.7167 10.2167","1970-1990",123,5.70737692161051,2.40937494614627,7.06054332044542
1560,101.192516195689,148.221864548335,9.89032235957922,13,1987,49.7167,10.2167,"49.7167 10.2167","1970-1990",120,5.46877036956673,7.92593732284149,7.39489113905913
2628,124.222084051506,94.9376446477535,8.32693529774946,13,1988,49.7167,10.2167,"49.7167 10.2167","1970-1990",117,6.1163933059109,9.29296854228596,6.7695554042442
2136,111.004663499306,101.511634421076,8.75661270750026,13,1989,49.7167,10.2167,"49.7167 10.2167","1970-1990",114,7.90163916764689,5.78890612060786,6.89445636763602
2844,129.693340167133,65.0134299783122,7.56887079856449,13,1990,49.7167,10.2167,"49.7167 10.2167","1970-1990",109,8.01926211583749,7.44984358348302,6.51619550652559
2520,118.696756765277,112.962964990122,8.88790302714633,14,1971,49.4667,9.58333,"49.4667 9.58333","1970-1990",113,5.34409824120583,8.29796856452595,6.03695638680264
2868,123.681975157988,63.5909518174007,7.91483853276699,14,1972,49.4667,9.58333,"49.4667 9.58333","1970-1990",113,7.1629506595677,8.35765606319183,5.69880422044788
2004,111.79149639122,76.1965313543393,6.62887081957512,14,1973,49.4667,9.58333,"49.4667 9.58333","1970-1990",122,4.75229497574514,6.66749985096976,5.21477766121841
3204,138.147560497046,162.635893311381,10.5624191187502,14,1974,49.4667,9.58333,"49.4667 9.58333","1970-1990",102,7.70131130327211,5.84718736930517,9.23597805442936
2808,122.155249268137,73.3808321718485,6.84145145998487,14,1975,49.4667,9.58333,"49.4667 9.58333","1970-1990",118,6.09557363424511,6.62140610200004,5.36173901059057
2292,109.394436964262,95.1739079498719,8.26064497665051,14,1976,49.4667,9.58333,"49.4667 9.58333","1970-1990",114,5.15483595035421,7.66484357867739,3.09511104192999
2472,125.495219701704,49.2128198441764,6.06451599347976,14,1977,49.4667,9.58333,"49.4667 9.58333","1970-1990",121,6.52081952637947,7.28828108709422,5.38119553189482
2616,119.987547411876,83.5325328343941,7.9180643391465,14,1978,49.4667,9.58333,"49.4667 9.58333","1970-1990",120,6.69393427660841,7.03453109276597,3.00119558509196
2136,108.28733875179,43.9957252399235,6.48564501632486,14,1979,49.4667,9.58333,"49.4667 9.58333","1970-1990",124,5.85221298394694,7.02249984303489,4.55199989825487
2376,117.167970625259,54.6602248521341,6.59758049769387,14,1980,49.4667,9.58333,"49.4667 9.58333","1970-1990",116,5.65172118514959,5.84734361930168,7.92739112715682
1572,96.9424476761193,134.234699245227,8.87661270481805,14,1981,49.4667,9.58333,"49.4667 9.58333","1970-1990",119,8.21295063609838,5.22359363324358,7.95184764834931
2148,113.951505720426,36.3817696625421,6.28999985940754,14,1982,49.4667,9.58333,"49.4667 9.58333","1970-1990",126,5.58016380969985,8.36421856304514,5.89188875719491
2160,110.891509507888,93.8333832394123,7.66177402229439,14,1983,49.4667,9.58333,"49.4667 9.58333","1970-1990",115,7.09139328411796,6.8464060969709,5.42521727004129
2220,118.238585414894,77.1967602093018,7.39967725395916,14,1984,49.4667,9.58333,"49.4667 9.58333","1970-1990",124,4.58999989740551,6.755312349007,5.24826075225745
1872,101.663872512698,85.2652192395694,7.84725788911624,14,1985,49.4667,9.58333,"49.4667 9.58333","1970-1990",129,5.79836052613424,5.86609361888259,3.18622215100461
2484,120.182518174181,151.155905485125,8.86435464057591,14,1986,49.4667,9.58333,"49.4667 9.58333","1970-1990",125,5.43795069812446,2.35499994736165,7.14923897063684
1644,100.582807469538,144.698021353493,9.86499977950007,14,1987,49.4667,9.58333,"49.4667 9.58333","1970-1990",121,5.14770480297262,7.83109357496141,7.14206505775371
2640,125.609835785783,106.88106994855,8.75596754622435,14,1988,49.4667,9.58333,"49.4667 9.58333","1970-1990",122,5.94008183444194,9.20578104423475,6.52711096521881
2268,113.715427111077,70.715969454038,7.65741918368205,14,1989,49.4667,9.58333,"49.4667 9.58333","1970-1990",120,7.66885228760418,5.65218737366376,6.80815202173898
2772,128.022574651022,78.2985160322266,8.08193530322563,14,1990,49.4667,9.58333,"49.4667 9.58333","1970-1990",121,7.57155720781168,7.56390608093352,6.49358681137876
2856,124.938825991877,94.4032035641437,8.40145142511615,15,1971,49.8833,10.0333,"49.8833 10.0333","1970-1990",112,5.50139331965723,8.28124981489964,6.18663029650064
